,avg_weeks,target,std_weeks,path_ATL_BOS,path_ATL_CLT,path_ATL_DEN,path_ATL_DFW,path_ATL_DTW,path_ATL_EWR,path_ATL_LAX,path_ATL_LGA,path_ATL_MCO,path_ATL_MIA,path_ATL_MSP,path_ATL_ORD,path_ATL_PHL,path_ATL_SFO,path_BOS_ATL,path_BOS_EWR,path_BOS_LAX,path_BOS_LGA,path_BOS_ORD,path_BOS_PHL,path_BOS_SFO,path_CLT_ATL,path_CLT_LGA,path_DEN_ATL,path_DEN_DFW,path_DEN_LAS,path_DEN_LAX,path_DEN_MSP,path_DEN_ORD,path_DEN_PHX,path_DEN_SEA,path_DEN_SFO,path_DFW_ATL,path_DFW_BOS,path_DFW_DEN,path_DFW_LAS,path_DFW_LAX,path_DFW_LGA,path_DFW_ORD,path_DFW_PHL,path_DFW_SFO,path_DTW_ATL,path_DTW_LGA,path_DTW_ORD,path_EWR_ATL,path_EWR_BOS,path_EWR_LAX,path_EWR_MCO,path_EWR_ORD,path_EWR_SFO,path_IAH_LAX,path_IAH_ORD,path_JFK_LAS,path_JFK_LAX,path_JFK_MCO,path_JFK_MIA,path_JFK_SFO,path_LAS_DEN,path_LAS_DFW,path_LAS_JFK,path_LAS_LAX,path_LAS_ORD,path_LAS_SFO,path_LAX_ATL,path_LAX_BOS,path_LAX_DEN,path_LAX_DFW,path_LAX_EWR,path_LAX_IAH,path_LAX_JFK,path_LAX_LAS,path_LAX_ORD,path_LAX_SEA,path_LAX_SFO,path_LGA_ATL,path_LGA_BOS,path_LGA_CLT,path_LGA_DFW,path_LGA_DTW,path_LGA_MIA,path_LGA_ORD,path_MCO_ATL,path_MCO_EWR,path_MCO_PHL,path_MIA_ATL,path_MIA_JFK,path_MIA_LGA,path_MSP_ATL,path_MSP_DEN,path_MSP_ORD,path_ORD_ATL,path_ORD_BOS,path_ORD_DEN,path_ORD_DFW,path_ORD_DTW,path_ORD_EWR,path_ORD_IAH,path_ORD_LAS,path_ORD_LAX,path_ORD_LGA,path_ORD_MSP,path_ORD_PHL,path_ORD_PHX,path_ORD_SEA,path_ORD_SFO,path_PHL_ATL,path_PHL_BOS,path_PHL_DFW,path_PHL_MCO,path_PHL_ORD,path_PHX_DEN,path_PHX_ORD,path_SEA_DEN,path_SEA_LAX,path_SEA_ORD,path_SEA_SFO,path_SFO_ATL,path_SFO_BOS,path_SFO_DEN,path_SFO_DFW,path_SFO_EWR,path_SFO_JFK,path_SFO_LAS,path_SFO_LAX,path_SFO_ORD,path_SFO_SEA,year,month,day,weekday,week,number_of_days,weekend,days_to_nye,days_to_ind
0,12.875,12.3312962231,9.81264711881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,6,19,1,25,15510,0,195.0,15.0
1,14.2857142857,10.7751815054,9.46673373551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,9,10,0,37,15593,0,112.0,68.0
2,10.8636363636,11.0831767533,9.03588325219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,10,5,4,40,15618,0,87.0,93.0
3,11.48,11.169267842,7.99020233369,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,10,9,6,40,15256,0,83.0,97.0
4,11.45,11.2693637331,9.51715901882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,2,21,1,8,15391,0,314.0,134.0
5,15.2666666667,11.1739361192,9.80827705821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,10,20,3,42,15267,0,72.0,108.0
6,8.58823529412,9.59995239987,6.1650103764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1,28,5,4,15367,1,338.0,158.0
7,10.2380952381,9.17564514329,6.60987716909,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,5,27,6,21,15487,0,218.0,38.0
8,12.6,10.7693986302,9.72539630726,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,4,25,2,17,15455,0,250.0,70.0
9,13.6296296296,10.2673098395,9.17835307897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,6,23,5,25,15514,1,191.0,11.0
