Date,Open,High,Low,Close,Adj Close,Volume
2011-09-01,5.540000,5.630000,5.280000,5.290000,4.987103,6677100
2011-09-02,5.140000,5.340000,5.120000,5.220000,4.921110,5097500
2011-09-06,5.080000,5.180000,5.000000,5.040000,4.751417,5262600
2011-09-07,5.180000,5.230000,5.130000,5.210000,4.911682,4519100
2011-09-08,5.170000,5.300000,5.110000,5.140000,4.845692,4435900
2011-09-09,5.090000,5.230000,4.960000,5.020000,4.732562,6297900
2011-09-12,4.950000,5.070000,4.680000,4.850000,4.572296,8533800
2011-09-13,4.900000,5.880000,4.730000,5.640000,5.317062,24655700
2011-09-14,5.700000,5.920000,5.520000,5.740000,5.411335,11585200
2011-09-15,5.850000,5.960000,5.660000,5.860000,5.524465,7429900
2011-09-16,5.910000,5.950000,5.760000,5.910000,5.571602,4586600
2011-09-19,5.770000,5.900000,5.720000,5.800000,5.467901,4149000
2011-09-20,5.880000,6.120000,5.770000,5.970000,5.628166,6913600
2011-09-21,5.940000,6.080000,5.810000,5.850000,5.515037,9122200
2011-09-22,5.720000,5.890000,5.640000,5.730000,5.401909,15729600
2011-09-23,5.680000,6.190000,5.670000,6.130000,5.779006,8256000
2011-09-26,6.260000,6.450000,6.110000,6.430000,6.061827,7554200
2011-09-27,6.570000,6.570000,6.060000,6.110000,5.760151,7917800
2011-09-28,6.110000,6.240000,6.060000,6.120000,5.769578,6625300
2011-09-29,6.280000,6.280000,5.990000,6.100000,5.750723,5039900
2011-09-30,5.960000,5.980000,5.470000,5.500000,5.185077,8429500
2011-10-03,5.440000,5.590000,4.530000,4.630000,4.364892,13467600
2011-10-04,4.610000,5.010000,4.590000,5.000000,4.713708,8995900
2011-10-05,4.970000,5.230000,4.950000,5.170000,4.873974,7358100
2011-10-06,5.180000,5.380000,5.060000,5.350000,5.043665,5228300
2011-10-07,5.420000,5.500000,5.170000,5.210000,4.911682,6088300
2011-10-10,5.390000,5.400000,5.220000,5.330000,5.024812,4401200
2011-10-11,5.290000,5.930000,5.280000,5.840000,5.505610,7072000
2011-10-12,5.910000,6.440000,5.820000,6.230000,5.873279,9014300
2011-10-13,6.160000,6.360000,5.920000,6.300000,5.939271,6077700
2011-10-14,6.480000,6.480000,6.000000,6.040000,5.694159,6443400
2011-10-17,6.020000,6.140000,5.710000,5.850000,5.515037,6601800
2011-10-18,5.810000,6.160000,5.810000,6.020000,5.675303,4921100
2011-10-19,6.020000,6.070000,5.700000,5.760000,5.430191,7317400
2011-10-20,5.800000,6.040000,5.680000,6.010000,5.665876,4805100
2011-10-21,6.100000,6.100000,5.740000,5.870000,5.533892,4973100
2011-10-24,5.800000,6.130000,5.780000,5.950000,5.609313,5337800
2011-10-25,5.870000,5.870000,5.590000,5.600000,5.279352,6475900
2011-10-26,5.740000,5.780000,5.590000,5.660000,5.335917,4919000
2011-10-27,5.930000,6.050000,5.650000,5.830000,5.496182,9171500
2011-10-28,5.800000,6.080000,5.800000,5.940000,5.599884,4626200
2011-10-31,5.870000,5.900000,5.740000,5.770000,5.439618,4346100
2011-11-01,5.570000,5.730000,5.480000,5.500000,5.185077,5666800
2011-11-02,5.620000,5.660000,5.230000,5.280000,4.977675,7873300
2011-11-03,5.400000,5.620000,5.090000,5.610000,5.288780,8596300
2011-11-04,5.490000,5.570000,5.360000,5.500000,5.185077,6493300
2011-11-07,5.500000,5.550000,5.320000,5.390000,5.081376,3927300
2011-11-08,5.440000,5.440000,5.200000,5.210000,4.911682,6410800
