iter	R2	RMSE
0	-71.87249578	8.08011279
1	-37.69125218	5.887650122
2	-19.76179379	4.312886586
3	-10.34331889	3.18790721
4	-5.411912147	2.396786682
5	-2.743704062	1.83141327
6	-1.378075441	1.459648937
7	-0.6233745768	1.205993512
8	-0.227572284	1.048719005
9	-0.0287243449	0.9600306753
10	0.08655779812	0.9046407305
11	0.1615134931	0.8667296235
12	0.2059653044	0.8434422285
13	0.2367040565	0.8269553827
14	0.2571908844	0.8157821786
15	0.2724354211	0.8073677078
16	0.2857516543	0.7999451743
17	0.2928124133	0.7959813929
18	0.3018982784	0.7908515238
19	0.3092962379	0.7866499366
20	0.3162365653	0.7826877515
21	0.3237720746	0.7783629438
22	0.3306128162	0.7744159653
23	0.3385472443	0.769812602
24	0.3454385282	0.765791992
25	0.3510573726	0.7624980768
26	0.3572615363	0.7588444225
27	0.3630343882	0.7554288985
28	0.3675416639	0.7527513825
29	0.3731812989	0.7493877228
30	0.3768020629	0.7472202015
31	0.3818875255	0.7441651976
32	0.3860503943	0.7416550592
33	0.3900415833	0.7392404376
34	0.3946123724	0.7364654402
35	0.398652757	0.734003724
36	0.4030488888	0.731315846
37	0.4072478875	0.7287392418
38	0.4112369479	0.726282994
39	0.4153260008	0.7237565243
40	0.4192220786	0.7213410543
41	0.4229089063	0.7190478419
42	0.4267457477	0.7166535288
43	0.4303827406	0.714376519
44	0.4336063288	0.7123522448
45	0.4371726988	0.7101059949
46	0.4402239868	0.7081785097
47	0.4436544788	0.7060051992
48	0.4467225018	0.7040558399
49	0.4497949466	0.702098247
50	0.4526846247	0.7002521091
51	0.4554144446	0.6985036184
52	0.4579161954	0.696897357
53	0.4605351707	0.6952118549
54	0.4631660587	0.6935145617
55	0.4656794587	0.6918891759
56	0.4680777355	0.6903346709
57	0.4704311604	0.6888058274
58	0.4728016417	0.6872624656
59	0.4752482714	0.6856658823
60	0.4776017069	0.6841265984
61	0.4799911509	0.6825602115
62	0.4822384495	0.6810837198
63	0.484429931	0.6796408113
64	0.4865631067	0.678233344
65	0.4886864063	0.6768294864
66	0.4906697358	0.6755155373
67	0.4926271106	0.6742162723
68	0.4944954823	0.6729737459
69	0.4965319727	0.671616797
70	0.4984909499	0.6703089043
71	0.5004669501	0.668987056
72	0.5023503976	0.6677246851
73	0.5042529347	0.6664470919
74	0.5061216342	0.6651898326
75	0.5078905552	0.6639975109
76	0.5096347097	0.6628197829
77	0.511259715	0.6617206232
78	0.5129879289	0.660549646
79	0.5146675152	0.6594096246
80	0.5161894389	0.6583749121
81	0.5178384186	0.6572519794
82	0.5193683627	0.6562083896
83	0.5209886943	0.655101333
84	0.5225676233	0.6540207612
85	0.5241149194	0.6529601031
86	0.5256259816	0.6519226175
87	0.5272405672	0.6508122257
88	0.5287017097	0.6498057251
89	0.5302441149	0.6487415529
90	0.5316509182	0.6477694138
91	0.5331079872	0.6467609994
92	0.5344922665	0.645801503
93	0.5358481704	0.6448602905
94	0.5371930657	0.6439253608
95	0.5384390061	0.6430580084
96	0.539830301	0.6420880841
97	0.5412228907	0.6411157875
98	0.5426406119	0.6401244273
99	0.543932947	0.6392194055
