iter	R2	RMSE
0	-72.15012037	8.081109036
1	-37.83726762	5.888270841
2	-19.83947307	4.31327165
3	-10.38471384	3.188045444
4	-5.434234853	2.396690191
5	-2.75491351	1.830894892
6	-1.383961142	1.45885803
7	-0.626412319	1.20497704
8	-0.2291164149	1.047514283
9	-0.02461720657	0.9564103482
10	0.1003065008	0.8962119601
11	0.1668402107	0.8624374262
12	0.2108188312	0.8393668263
13	0.2411289143	0.8230902305
14	0.2611821474	0.8121423066
15	0.2768844942	0.8034655885
16	0.2904989647	0.7958660168
17	0.2976392436	0.7918511705
18	0.3056527521	0.7873209418
19	0.3125942947	0.7833755457
20	0.3209319223	0.7786102231
21	0.3287637614	0.7741072619
22	0.3355079405	0.7702085616
23	0.3439071819	0.7653253274
24	0.3506317115	0.7613931797
25	0.3556631529	0.7584377269
26	0.362029895	0.7546813336
27	0.3676677938	0.7513392813
28	0.3729971272	0.7481664158
29	0.3787116515	0.7447492055
30	0.3828924619	0.7422391705
31	0.3873666937	0.739543537
32	0.3918350824	0.7368415815
33	0.3960612112	0.734276968
34	0.4006812919	0.7314629976
35	0.4038112581	0.7295504497
36	0.4077987522	0.7271066274
37	0.4120513037	0.7244912755
38	0.416134682	0.7219710501
39	0.4199763944	0.7195919204
40	0.4235632843	0.7173634768
41	0.4273473244	0.7150050203
42	0.4310452607	0.7126926891
43	0.4343392995	0.7106265799
44	0.4375672928	0.7085960519
45	0.44084436	0.7065286852
46	0.4440533274	0.704498401
47	0.4471100271	0.702558999
48	0.4499769721	0.7007351136
49	0.4528019712	0.6989332577
50	0.4555142581	0.6971989107
51	0.4579484611	0.6956387002
52	0.4606547035	0.6939000071
53	0.463242409	0.6922333866
54	0.4658631542	0.6905413871
55	0.4684730022	0.6888522929
56	0.4708099988	0.6873362656
57	0.4731675909	0.6858034821
58	0.4756343963	0.6841960177
59	0.4780628194	0.6826098671
60	0.4803281146	0.6811269355
61	0.4827354188	0.6795474936
62	0.4849654249	0.6780810953
63	0.4870857685	0.6766838612
64	0.489201627	0.6752867008
65	0.4914028323	0.6738301089
66	0.4934023348	0.6725042543
67	0.4954501876	0.6711436239
68	0.4972795482	0.6699258268
69	0.4992802132	0.6685914537
70	0.5012034632	0.6673061983
71	0.5032278695	0.6659506633
72	0.5049186631	0.6648163959
73	0.5066605379	0.6636458334
74	0.5083668131	0.662497189
75	0.5100498476	0.6613622356
76	0.511887704	0.6601206492
77	0.5136981401	0.6588952995
78	0.5155251694	0.6576564046
79	0.5173224922	0.6564353719
80	0.5190725017	0.6552442959
81	0.520658074	0.654163265
82	0.5220292735	0.6532269493
83	0.523598283	0.652153911
84	0.5250641398	0.6511498206
85	0.5266551276	0.6500582622
86	0.5281030596	0.6490632572
87	0.5295955809	0.6480360118
88	0.5311433374	0.6469690274
89	0.5326579441	0.6459231893
90	0.5340869272	0.6449349197
91	0.53545505	0.6439873192
92	0.5368173459	0.6430423672
93	0.5382515968	0.6420460008
94	0.5396983915	0.6410393514
95	0.5411208996	0.6400480565
96	0.5425128054	0.6390765989
97	0.5436942995	0.6382508344
98	0.5450109332	0.6373293583
99	0.5463723431	0.6363751414
